crop,year,fold_id,ml_model,ml_mae,ml_rmse,baseline_model,baseline_mae,baseline_rmse,ml_improvement_pct,ml_win,temporal_regime
Sorghum,2015,2,RandomForestRegressor,265.52,451.65,Historical District Mean,271.29,457.62,2.13,True,stable_year
Sorghum,2016,3,RandomForestRegressor,261.76,455.97,Historical District Mean,259.56,459.5,-0.85,False,stable_year
Sorghum,2017,4,RandomForestRegressor,326.98,559.52,Historical District Mean,288.75,476.52,-13.24,False,baseline_advantage
Kharif Sorghum,2014,1,RandomForestRegressor,266.4,464.37,Historical District Mean,283.1,474.24,5.9,True,ml_advantage
Kharif Sorghum,2015,2,RandomForestRegressor,286.05,461.17,Linear District Trend,293.04,544.98,2.39,True,stable_year
Kharif Sorghum,2016,3,RandomForestRegressor,265.84,422.37,Historical District Mean,263.71,436.53,-0.81,False,stable_year
Kharif Sorghum,2017,4,RandomForestRegressor,343.22,583.96,Historical District Mean,335.55,525.49,-2.28,False,stable_year
Pearl Millet,2014,1,RandomForestRegressor,281.77,533.5,Historical District Mean,260.82,490.44,-8.03,False,baseline_advantage
Pearl Millet,2015,2,RandomForestRegressor,265.08,450.44,Historical District Mean,249.43,396.56,-6.27,False,baseline_advantage
Pearl Millet,2016,3,RandomForestRegressor,280.53,624.92,Historical District Mean,269.82,623.2,-3.97,False,stable_year
Pearl Millet,2017,4,RandomForestRegressor,271.93,480.48,Historical District Mean,256.84,446.86,-5.88,False,baseline_advantage
