crop,fold_id,train_start_year,train_end_year,test_year,train_samples,test_samples,model,mae,rmse,r2,mape,smape,best_baseline_model,best_baseline_mae,win_vs_baseline,mae_improvement_pct,mean_residual,std_residual
Maize,3,2011,2015,2016,1532,307,RandomForestRegressor,730.35,1574.03,0.2987,34.91,40.08,Historical District Mean,717.06,False,-1.85,158.1,1566.07
Maize,3,2011,2015,2016,1532,307,GradientBoostingRegressor,767.83,1644.82,0.2342,36.93,41.2,Historical District Mean,717.06,False,-7.08,183.22,1634.58
Maize,4,2011,2016,2017,1839,303,Historical District Mean,749.69,1110.51,0.6652,36.88,34.12,Historical District Mean,749.69,False,0.0,569.34,953.46
Maize,4,2011,2016,2017,1839,303,Naive Persistence,917.15,1682.01,0.2318,37.8,41.16,Historical District Mean,749.69,False,0.0,254.09,1662.7
Maize,4,2011,2016,2017,1839,303,Linear District Trend,783.42,1294.93,0.5447,39.05,34.76,Historical District Mean,749.69,False,0.0,364.95,1242.44
Maize,4,2011,2016,2017,1839,303,RandomForestRegressor,728.42,1121.49,0.6585,38.51,34.09,Historical District Mean,749.69,True,2.84,427.65,1036.75
Maize,4,2011,2016,2017,1839,303,GradientBoostingRegressor,726.46,1133.76,0.651,38.55,39.34,Historical District Mean,749.69,True,3.1,349.36,1078.6
Rice,1,2011,2013,2014,926,304,Historical District Mean,253.44,391.06,0.8738,15.97,20.37,Historical District Mean,253.44,False,0.0,56.4,386.97
Rice,1,2011,2013,2014,926,304,Naive Persistence,427.39,730.05,0.5602,18.88,35.08,Historical District Mean,253.44,False,0.0,-139.21,716.65
Rice,1,2011,2013,2014,926,304,Linear District Trend,350.76,582.58,0.7199,24.42,24.79,Historical District Mean,253.44,False,0.0,-16.62,582.34
Rice,1,2011,2013,2014,926,304,RandomForestRegressor,276.3,427.85,0.849,18.03,21.79,Historical District Mean,253.44,False,-9.02,-40.41,425.94
Rice,1,2011,2013,2014,926,304,GradientBoostingRegressor,284.43,423.16,0.8522,18.2,35.36,Historical District Mean,253.44,False,-12.23,-24.43,422.46
Rice,2,2011,2014,2015,1230,310,Historical District Mean,321.48,448.85,0.8504,25.95,28.79,Historical District Mean,321.48,False,0.0,-100.36,437.48
Rice,2,2011,2014,2015,1230,310,Naive Persistence,490.74,753.01,0.5788,28.42,40.33,Historical District Mean,321.48,False,0.0,-309.19,686.6
Rice,2,2011,2014,2015,1230,310,Linear District Trend,386.98,595.43,0.7367,30.86,29.3,Historical District Mean,321.48,False,0.0,-184.28,566.19
Rice,2,2011,2014,2015,1230,310,RandomForestRegressor,361.66,515.77,0.8024,30.92,31.13,Historical District Mean,321.48,False,-12.5,-187.58,480.45
Rice,2,2011,2014,2015,1230,310,GradientBoostingRegressor,358.79,507.57,0.8087,30.41,42.47,Historical District Mean,321.48,False,-11.61,-169.0,478.6
Rice,3,2011,2015,2016,1540,311,Historical District Mean,341.21,501.94,0.7927,16.31,25.19,Historical District Mean,341.21,False,0.0,162.81,474.8
Rice,3,2011,2015,2016,1540,311,Naive Persistence,550.43,794.25,0.481,22.21,41.37,Historical District Mean,341.21,False,0.0,80.39,790.17
Rice,3,2011,2015,2016,1540,311,Linear District Trend,393.44,566.98,0.7355,20.91,28.01,Historical District Mean,341.21,False,0.0,168.76,541.28
Rice,3,2011,2015,2016,1540,311,RandomForestRegressor,384.7,537.15,0.7626,19.12,33.18,Historical District Mean,341.21,False,-12.75,210.47,494.2
Rice,3,2011,2015,2016,1540,311,GradientBoostingRegressor,419.24,570.91,0.7318,20.48,41.24,Historical District Mean,341.21,False,-22.87,260.06,508.24
Rice,4,2011,2016,2017,1851,307,Historical District Mean,324.99,498.96,0.8012,15.88,24.36,Historical District Mean,324.99,False,0.0,147.81,476.57
