crop,state,district,observations_count,ml_mae,baseline_mae,ml_improvement_pct,ml_win_rate,is_best_ml_district,is_worst_ml_district,is_high_error_district
Minor Pulses,Himachal Pradesh,Kullu,4,718.11,1062.44,32.41,50.0,False,False,True
Minor Pulses,Himachal Pradesh,Lahul & Spiti,4,2569.28,2587.21,0.69,50.0,False,False,True
Minor Pulses,Himachal Pradesh,Mandi,4,1320.49,958.16,-37.82,50.0,False,True,True
Minor Pulses,Himachal Pradesh,Shimla,4,1193.62,1083.76,-10.14,50.0,False,True,True
Minor Pulses,Himachal Pradesh,Sirmaur,4,903.95,884.17,-2.24,50.0,False,False,True
Minor Pulses,Himachal Pradesh,Solan,4,788.12,500.27,-57.54,25.0,False,True,True
Minor Pulses,Jharkhand,Dhanbad,4,715.1,723.2,1.12,50.0,False,False,True
Minor Pulses,Jharkhand,Hazaribagh,4,364.81,291.58,-25.11,25.0,False,True,False
Minor Pulses,Jharkhand,Palamau,4,299.39,269.02,-11.29,25.0,False,True,False
Minor Pulses,Jharkhand,Ranchi,4,553.51,613.99,9.85,50.0,False,False,True
Minor Pulses,Jharkhand,Santhal Paragana / Dumka,4,877.14,944.1,7.09,25.0,False,True,True
Minor Pulses,Jharkhand,Singhbhum,4,384.31,366.35,-4.9,50.0,False,False,False
Minor Pulses,Karnataka,Bangalore,4,383.9,281.35,-36.45,50.0,False,True,False
Minor Pulses,Karnataka,Belgaum,4,153.91,98.18,-56.76,25.0,False,True,False
Minor Pulses,Karnataka,Bellary,4,133.76,206.17,35.12,75.0,True,False,False
Minor Pulses,Karnataka,Bidar,4,198.48,167.47,-18.52,50.0,False,True,False
Minor Pulses,Karnataka,Bijapur / Vijayapura,4,302.97,131.93,-129.64,0.0,False,True,False
Minor Pulses,Karnataka,Chickmagalur,4,139.64,168.33,17.04,25.0,False,True,False
Minor Pulses,Karnataka,Chitradurga,4,138.12,133.41,-3.53,50.0,False,False,False
Minor Pulses,Karnataka,Dakshina Kannada,4,52.23,48.98,-6.64,75.0,False,False,False
Minor Pulses,Karnataka,Dharwad,4,222.63,30.96,-619.09,0.0,False,True,False
Minor Pulses,Karnataka,Gulbarga / Kalaburagi,4,191.8,270.6,29.12,100.0,True,False,False
Minor Pulses,Karnataka,Hassan,4,100.42,65.94,-52.29,25.0,False,True,False
Minor Pulses,Karnataka,Kodagu / Coorg,4,473.59,145.31,-225.92,25.0,False,True,False
Minor Pulses,Karnataka,Kolar,4,373.92,244.33,-53.04,25.0,False,True,False
Minor Pulses,Karnataka,Mandya,4,48.67,21.48,-126.58,0.0,False,True,False
Minor Pulses,Karnataka,Mysore,4,63.78,70.68,9.76,50.0,False,False,False
Minor Pulses,Karnataka,Raichur,4,173.44,51.88,-234.31,0.0,False,True,False
Minor Pulses,Karnataka,Shimoge,4,276.7,88.79,-211.63,25.0,False,True,False
Minor Pulses,Karnataka,Tumkur,4,141.74,111.61,-27.0,0.0,False,True,False
Minor Pulses,Karnataka,Uttara Kannada,4,231.42,62.88,-268.03,25.0,False,True,False
Minor Pulses,Kerala,Alappuzha,4,359.37,331.01,-8.57,75.0,False,False,False
Minor Pulses,Kerala,Eranakulam,4,450.68,503.97,10.57,25.0,False,True,False
Minor Pulses,Kerala,Kannur,4,356.16,338.57,-5.2,25.0,False,True,False
Minor Pulses,Kerala,Kollam,4,601.84,327.08,-84.0,0.0,False,True,True
Minor Pulses,Kerala,Kottayam,4,1823.47,1333.53,-36.74,50.0,False,True,True
Minor Pulses,Kerala,Kozhikode,4,369.6,352.22,-4.93,25.0,False,True,False
Minor Pulses,Kerala,Malappuram,4,764.7,542.89,-40.86,25.0,False,True,True
Minor Pulses,Kerala,Palakkad,4,457.25,459.77,0.55,25.0,False,True,False
Minor Pulses,Kerala,Thiruvananthapuram,4,429.8,454.5,5.43,25.0,False,True,False
Minor Pulses,Kerala,Thrissur,4,802.64,324.16,-147.61,25.0,False,True,True
Minor Pulses,Madhya Pradesh,Balaghat,4,299.42,222.46,-34.59,25.0,False,True,False
Minor Pulses,Madhya Pradesh,Betul,4,198.16,210.1,5.68,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Bhind,4,293.78,353.96,17.0,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Chhatarpur,4,195.08,208.98,6.65,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Chhindwara,4,145.42,167.53,13.2,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Damoh,4,222.32,508.22,56.26,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Datia,4,341.81,450.89,24.19,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Dewas,4,348.86,355.32,1.82,75.0,False,False,False
Minor Pulses,Madhya Pradesh,Dhar,4,137.13,197.04,30.4,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Guna,4,184.0,336.08,45.25,25.0,False,True,False
Minor Pulses,Madhya Pradesh,Gwalior,4,387.46,471.51,17.83,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Hoshangabad,4,265.2,289.54,8.41,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Indore,4,383.55,481.45,20.33,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Jabalpur,4,291.1,304.28,4.33,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Jhabua,4,258.96,325.54,20.45,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Khandwa / East Nimar,4,242.0,343.42,29.53,100.0,True,False,False
Minor Pulses,Madhya Pradesh,Khargone / West Nimar,4,190.31,233.86,18.62,100.0,True,False,False
Minor Pulses,Madhya Pradesh,Mandla,4,170.98,209.21,18.27,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Mandsaur,4,243.5,321.03,24.15,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Morena,4,251.39,529.88,52.56,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Narsinghpur,4,275.01,255.88,-7.48,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Panna,4,410.52,632.85,35.13,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Raisen,4,322.26,532.7,39.5,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Rajgarh,4,281.98,335.33,15.91,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Ratlam,4,120.19,332.94,63.9,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Rewa,3,181.77,222.29,18.23,66.67,False,False,False
Minor Pulses,Madhya Pradesh,Sagar,4,256.73,259.96,1.24,25.0,False,True,False
Minor Pulses,Madhya Pradesh,Satna,4,133.07,203.7,34.67,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Sehore,4,189.64,405.51,53.23,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Seoni / Shivani,4,93.16,114.56,18.68,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Shahdol,4,107.69,96.87,-11.17,25.0,False,True,False
Minor Pulses,Madhya Pradesh,Shajapur,4,261.13,273.67,4.58,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Shivpuri,4,126.91,177.63,28.55,75.0,True,False,False
Minor Pulses,Madhya Pradesh,Sidhi,4,115.02,137.58,16.4,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Tikamgarh,4,297.83,345.22,13.73,50.0,False,False,False
Minor Pulses,Madhya Pradesh,Ujjain,4,118.64,327.43,63.77,100.0,True,False,False
Minor Pulses,Madhya Pradesh,Vidisha,4,220.56,338.04,34.75,50.0,False,False,False
Minor Pulses,Maharashtra,Ahmednagar,4,237.83,312.52,23.9,50.0,False,False,False
Minor Pulses,Maharashtra,Akola,4,291.56,237.0,-23.02,25.0,False,True,False
Minor Pulses,Maharashtra,Amarawati,4,258.03,299.41,13.82,75.0,True,False,False
Minor Pulses,Maharashtra,Aurangabad,4,387.97,381.74,-1.63,75.0,False,False,False
Minor Pulses,Maharashtra,Beed,4,242.07,185.94,-30.19,50.0,False,True,False
Minor Pulses,Maharashtra,Bhandara,4,96.94,157.33,38.38,50.0,False,False,False
Minor Pulses,Maharashtra,Buldhana,4,226.51,224.32,-0.98,50.0,False,False,False
Minor Pulses,Maharashtra,Chandrapur,4,120.63,156.68,23.01,50.0,False,False,False
Minor Pulses,Maharashtra,Dhule,4,47.0,100.29,53.14,50.0,False,False,False
Minor Pulses,Maharashtra,Jalgaon,4,152.18,177.65,14.34,75.0,True,False,False
Minor Pulses,Maharashtra,Kolhapur,4,110.26,144.47,23.68,75.0,True,False,False
Minor Pulses,Maharashtra,Nagpur,4,153.67,131.83,-16.57,50.0,False,True,False
Minor Pulses,Maharashtra,Nanded,4,216.07,169.96,-27.13,50.0,False,True,False
Minor Pulses,Maharashtra,Nasik,4,144.35,271.39,46.81,100.0,True,False,False
Minor Pulses,Maharashtra,Osmanabad,4,269.79,295.18,8.6,25.0,False,True,False
Minor Pulses,Maharashtra,Parbhani,4,256.46,194.28,-32.01,25.0,False,True,False
Minor Pulses,Maharashtra,Pune,4,110.12,141.96,22.43,75.0,True,False,False
Minor Pulses,Maharashtra,Raigad,4,182.88,189.73,3.61,75.0,False,False,False
Minor Pulses,Maharashtra,Ratnagiri,4,89.92,28.04,-220.68,25.0,False,True,False
Minor Pulses,Maharashtra,Sangli,4,242.57,268.21,9.56,75.0,True,False,False
Minor Pulses,Maharashtra,Satara,4,116.58,132.07,11.73,50.0,False,False,False
Minor Pulses,Maharashtra,Solapur,4,199.8,200.38,0.29,50.0,False,False,False
Minor Pulses,Maharashtra,Thane,4,166.8,109.74,-52.0,75.0,False,True,False
Minor Pulses,Maharashtra,Wardha,4,601.79,618.98,2.78,50.0,False,False,True
Minor Pulses,Maharashtra,Yeotmal,4,225.74,171.88,-31.34,0.0,False,True,False
Minor Pulses,Orissa,Balasore,4,30.84,10.9,-182.94,0.0,False,True,False
Minor Pulses,Orissa,Bolangir,4,29.08,7.19,-304.45,0.0,False,True,False
Minor Pulses,Orissa,Cuttack,4,23.72,14.33,-65.53,25.0,False,True,False
Minor Pulses,Orissa,Dhenkanal,4,46.66,10.45,-346.51,25.0,False,True,False
Minor Pulses,Orissa,Ganjam,4,25.27,5.77,-337.95,25.0,False,True,False
Minor Pulses,Orissa,Kalahandi,4,22.9,5.78,-296.19,50.0,False,True,False
Minor Pulses,Orissa,Keonjhar,4,18.76,16.13,-16.31,75.0,False,True,False
Minor Pulses,Orissa,Koraput,4,43.11,20.7,-108.26,25.0,False,True,False
Minor Pulses,Orissa,Mayurbhanja,4,19.77,11.63,-69.99,25.0,False,True,False
Minor Pulses,Orissa,Phulbani ( Kandhamal ),4,46.52,20.62,-125.61,25.0,False,True,False
Minor Pulses,Orissa,Puri,4,26.77,17.04,-57.1,25.0,False,True,False
Minor Pulses,Orissa,Sambalpur,4,36.51,13.13,-178.07,25.0,False,True,False
