crop,fold_id,test_year,experiment_id,experiment_name,feature_group,n_features,algorithm,test_records,mae,rmse,r2,mape,smape,baseline_mae,historical_mae,improvement_vs_baseline_pct,improvement_vs_historical_pct,win_vs_baseline,win_vs_historical
Sugarcane,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,304,1436.69,2023.83,0.6451,30.14,63.98,1537.89,1347.74,6.58,-6.6,True,False
Sugarcane,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,304,1726.03,2407.38,0.4978,37.67,65.42,1537.89,1347.74,-12.23,-28.07,False,False
Sugarcane,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,304,1679.67,2256.31,0.5588,37.44,65.5,1537.89,1347.74,-9.22,-24.63,False,False
Sugarcane,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,297,1441.05,2143.96,0.6775,68.34,68.3,1567.62,1441.05,8.07,0.0,True,False
Sugarcane,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,297,1412.56,2061.16,0.7019,69.95,68.47,1567.62,1441.05,9.89,1.98,True,True
Sugarcane,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,297,1397.25,2055.79,0.7034,58.89,67.56,1567.62,1441.05,10.87,3.04,True,True
Sugarcane,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,297,1384.58,2006.96,0.7174,64.87,67.58,1567.62,1441.05,11.68,3.92,True,True
Sugarcane,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,297,1396.41,2030.54,0.7107,69.78,67.81,1567.62,1441.05,10.92,3.1,True,True
Rice,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,304,273.07,426.88,0.8496,20.3,29.96,253.44,273.07,-7.75,0.0,False,False
Rice,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,304,290.55,440.36,0.84,23.18,31.15,253.44,273.07,-14.64,-6.4,False,False
Rice,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,304,277.4,429.15,0.848,20.1,31.12,253.44,273.07,-9.46,-1.59,False,False
Rice,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,304,297.88,445.56,0.8362,22.36,35.66,253.44,273.07,-17.54,-9.09,False,False
Rice,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,304,299.27,445.81,0.836,22.74,33.95,253.44,273.07,-18.08,-9.59,False,False
Rice,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,359.61,525.26,0.7951,31.45,37.63,321.48,359.61,-11.86,0.0,False,False
Rice,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,356.64,523.26,0.7966,31.07,35.36,321.48,359.61,-10.94,0.83,False,True
Rice,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,357.36,518.23,0.8005,30.82,38.21,321.48,359.61,-11.16,0.63,False,True
Rice,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,355.17,520.02,0.7991,30.75,36.57,321.48,359.61,-10.48,1.24,False,True
Rice,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,356.75,521.27,0.7982,31.22,36.13,321.48,359.61,-10.97,0.8,False,True
Rice,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,311,336.1,486.35,0.8054,16.95,32.77,341.21,336.1,1.5,0.0,True,False
Rice,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,311,345.22,493.71,0.7994,17.51,36.35,341.21,336.1,-1.18,-2.71,False,False
Rice,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,311,342.65,501.31,0.7932,16.91,36.91,341.21,336.1,-0.42,-1.95,False,False
Rice,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,311,350.85,501.25,0.7933,16.78,35.11,341.21,336.1,-2.83,-4.39,False,False
Rice,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,311,346.01,501.9,0.7927,16.49,35.09,341.21,336.1,-1.41,-2.95,False,False
Rice,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,332.23,513.36,0.7895,19.5,35.5,324.99,332.23,-2.23,0.0,False,False
Rice,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,317.51,496.68,0.803,17.74,34.84,324.99,332.23,2.3,4.43,True,True
Rice,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,322.29,500.82,0.7997,18.92,35.02,324.99,332.23,0.83,2.99,True,True
Rice,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,316.89,491.91,0.8068,17.69,34.69,324.99,332.23,2.49,4.62,True,True
Rice,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,314.96,491.87,0.8068,17.72,34.7,324.99,332.23,3.09,5.2,True,True
Sesamum,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,304,147.04,223.43,0.3583,34.33,65.95,132.35,147.04,-11.1,0.0,False,False
Sesamum,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,304,146.25,211.51,0.425,33.74,70.01,132.35,147.04,-10.5,0.53,False,True
Sesamum,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,304,156.58,228.97,0.3261,34.81,70.88,132.35,147.04,-18.3,-6.49,False,False
Sesamum,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,304,155.5,221.81,0.3676,34.61,70.16,132.35,147.04,-17.49,-5.76,False,False
Sesamum,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,304,161.74,231.91,0.3087,36.91,70.57,132.35,147.04,-22.2,-10.0,False,False
Sesamum,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,309,124.36,189.69,0.5122,47.26,61.05,133.66,124.36,6.96,0.0,True,False
Sesamum,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,309,123.38,187.98,0.521,46.47,66.81,133.66,124.36,7.69,0.79,True,True
Sesamum,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,309,128.05,193.79,0.4909,47.71,68.94,133.66,124.36,4.2,-2.97,True,False
Sesamum,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,309,125.94,191.95,0.5005,47.65,66.9,133.66,124.36,5.78,-1.27,True,False
Sesamum,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,309,128.67,190.22,0.5095,48.79,68.61,133.66,124.36,3.74,-3.46,True,False
Sesamum,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,131.13,208.76,0.4478,48.09,52.82,125.35,131.13,-4.61,0.0,False,False
Sesamum,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,126.1,202.48,0.4805,48.1,52.85,125.35,131.13,-0.6,3.84,False,True
Sesamum,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,128.49,207.49,0.4545,48.65,49.97,125.35,131.13,-2.5,2.02,False,True
Sesamum,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,127.75,202.54,0.4803,47.81,55.49,125.35,131.13,-1.92,2.58,False,True
Sesamum,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,133.81,211.93,0.4309,53.12,57.41,125.35,131.13,-6.75,-2.04,False,False
Sesamum,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,306,155.08,421.66,0.1559,86.35,49.51,158.4,155.08,2.1,0.0,True,False
Sesamum,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,306,154.99,424.34,0.1451,88.06,52.11,158.4,155.08,2.15,0.06,True,True
Sesamum,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,306,155.08,423.89,0.1469,87.43,51.9,158.4,155.08,2.1,0.0,True,True
Sesamum,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,306,153.83,423.67,0.1478,89.0,52.18,158.4,155.08,2.88,0.8,True,True
Sesamum,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,306,152.45,422.6,0.1521,88.55,51.64,158.4,155.08,3.76,1.7,True,True
Pigeonpea,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,304,296.5,424.52,0.3004,52.47,67.62,272.65,296.5,-8.74,0.0,False,False
Pigeonpea,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,304,364.73,508.18,-0.0026,55.93,67.77,272.65,296.5,-33.77,-23.01,False,False
Pigeonpea,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,304,303.91,430.07,0.2819,51.54,67.21,272.65,296.5,-11.46,-2.5,False,False
Pigeonpea,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,304,366.37,509.33,-0.0071,55.5,67.77,272.65,296.5,-34.37,-23.57,False,False
Pigeonpea,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,304,349.67,488.43,0.0738,54.79,67.67,272.65,296.5,-28.25,-17.94,False,False
Pigeonpea,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,263.32,368.57,0.4745,52.34,71.77,247.16,263.32,-6.54,0.0,False,False
Pigeonpea,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,269.36,368.01,0.4761,50.93,72.13,247.16,263.32,-8.99,-2.3,False,False
Pigeonpea,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,267.93,362.02,0.493,50.34,71.87,247.16,263.32,-8.4,-1.75,False,False
Pigeonpea,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,266.5,361.78,0.4937,49.58,71.62,247.16,263.32,-7.83,-1.21,False,False
Pigeonpea,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,264.46,363.15,0.4898,47.89,70.84,247.16,263.32,-7.0,-0.43,False,False
Pigeonpea,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,311,330.37,480.19,0.2515,37.16,70.16,305.05,330.37,-8.3,0.0,False,False
Pigeonpea,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,311,319.32,466.8,0.2926,35.97,68.21,305.05,330.37,-4.68,3.35,False,True
Pigeonpea,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,311,338.75,484.38,0.2384,37.68,71.51,305.05,330.37,-11.05,-2.54,False,False
Pigeonpea,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,311,324.33,465.92,0.2953,36.14,68.11,305.05,330.37,-6.32,1.83,False,True
Pigeonpea,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,311,314.98,460.28,0.3123,35.52,67.63,305.05,330.37,-3.26,4.66,False,True
Pigeonpea,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,271.29,388.43,0.4775,27.89,58.45,304.54,271.29,10.92,0.0,True,False
Pigeonpea,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,281.8,404.12,0.4344,27.88,58.2,304.54,271.29,7.47,-3.88,True,False
Pigeonpea,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,257.78,373.62,0.5166,26.88,57.35,304.54,271.29,15.35,4.98,True,True
Pigeonpea,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,278.05,400.65,0.4441,27.95,58.25,304.54,271.29,8.7,-2.49,True,False
Pigeonpea,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,274.62,391.19,0.47,27.35,57.13,304.54,271.29,9.82,-1.23,True,False
Rapeseed and Mustard,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,304,212.73,351.15,0.5838,40.32,54.7,204.63,212.73,-3.96,0.0,False,False
Rapeseed and Mustard,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,304,251.85,379.76,0.5132,44.45,73.24,204.63,212.73,-23.08,-18.39,False,False
Rapeseed and Mustard,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,304,226.2,361.85,0.558,43.67,71.12,204.63,212.73,-10.54,-6.33,False,False
Rapeseed and Mustard,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,304,269.66,382.45,0.5063,46.09,72.79,204.63,212.73,-31.78,-26.76,False,False
Rapeseed and Mustard,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,304,283.05,388.85,0.4896,45.44,73.07,204.63,212.73,-38.32,-33.05,False,False
Rapeseed and Mustard,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,149.68,248.78,0.7808,21.58,47.89,133.91,149.68,-11.78,0.0,False,False
Rapeseed and Mustard,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,156.96,257.28,0.7655,21.64,68.02,133.91,149.68,-17.21,-4.86,False,False
Rapeseed and Mustard,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,159.88,259.49,0.7615,22.62,67.35,133.91,149.68,-19.39,-6.81,False,False
Rapeseed and Mustard,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,162.55,257.49,0.7651,22.35,69.07,133.91,149.68,-21.38,-8.6,False,False
Rapeseed and Mustard,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,159.48,253.66,0.7721,22.25,69.1,133.91,149.68,-19.09,-6.54,False,False
Rapeseed and Mustard,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,311,226.14,352.15,0.6678,44.2,61.41,213.68,226.14,-5.83,0.0,False,False
Rapeseed and Mustard,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,311,230.62,349.8,0.6722,44.28,72.73,213.68,226.14,-7.93,-1.98,False,False
Rapeseed and Mustard,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,311,231.03,357.83,0.657,44.13,74.65,213.68,226.14,-8.12,-2.16,False,False
Rapeseed and Mustard,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,311,233.03,351.46,0.669,45.18,72.94,213.68,226.14,-9.05,-3.05,False,False
Rapeseed and Mustard,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,311,237.12,356.49,0.6595,44.72,73.5,213.68,226.14,-10.97,-4.85,False,False
Rapeseed and Mustard,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,209.18,309.96,0.7493,28.68,59.37,221.08,209.18,5.38,0.0,True,False
Rapeseed and Mustard,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,207.06,306.28,0.7552,29.17,59.97,221.08,209.18,6.34,1.01,True,True
Rapeseed and Mustard,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,208.11,304.09,0.7587,29.01,59.57,221.08,209.18,5.86,0.51,True,True
Rapeseed and Mustard,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,208.15,308.82,0.7511,29.21,60.2,221.08,209.18,5.85,0.49,True,True
Rapeseed and Mustard,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,206.73,308.45,0.7517,28.88,60.27,221.08,209.18,6.49,1.17,True,True
Groundnut,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,304,313.07,511.33,0.6738,24.43,72.56,268.96,313.07,-16.4,0.0,False,False
Groundnut,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,304,415.12,579.43,0.5811,22.38,71.22,268.96,313.07,-54.34,-32.6,False,False
Groundnut,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,304,307.43,495.94,0.6931,22.72,64.96,268.96,313.07,-14.3,1.8,False,True
Groundnut,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,304,425.25,612.14,0.5325,22.94,69.26,268.96,313.07,-58.11,-35.83,False,False
Groundnut,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,304,432.61,646.58,0.4784,24.14,71.48,268.96,313.07,-60.84,-38.18,False,False
Groundnut,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,309,285.71,460.33,0.7341,36.48,74.26,294.78,285.71,3.08,0.0,True,False
Groundnut,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,309,289.39,449.5,0.7465,35.45,69.67,294.78,285.71,1.83,-1.29,True,False
Groundnut,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,309,315.63,487.89,0.7014,40.1,71.07,294.78,285.71,-7.07,-10.47,False,False
Groundnut,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,309,315.77,480.85,0.7099,37.1,74.52,294.78,285.71,-7.12,-10.52,False,False
Groundnut,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,309,322.23,479.98,0.711,37.07,74.77,294.78,285.71,-9.31,-12.79,False,False
Groundnut,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,269.43,412.3,0.7748,35.34,72.75,276.34,269.43,2.5,0.0,True,False
Groundnut,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,265.96,403.91,0.7839,35.7,62.74,276.34,269.43,3.76,1.29,True,True
Groundnut,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,276.41,424.79,0.7609,34.76,67.11,276.34,269.43,-0.02,-2.59,False,False
Groundnut,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,270.95,413.68,0.7733,35.03,71.19,276.34,269.43,1.95,-0.57,True,False
Groundnut,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,268.75,406.33,0.7813,35.48,66.47,276.34,269.43,2.75,0.25,True,True
Groundnut,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,306,357.85,555.91,0.6079,27.9,69.56,309.52,357.85,-15.61,0.0,False,False
Groundnut,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,306,338.68,517.42,0.6603,26.49,67.48,309.52,357.85,-9.42,5.36,False,True
Groundnut,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,306,339.37,521.03,0.6556,26.17,66.85,309.52,357.85,-9.64,5.17,False,True
Groundnut,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,306,329.56,500.82,0.6818,25.09,65.33,309.52,357.85,-6.47,7.91,False,True
Groundnut,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,306,326.47,498.24,0.685,25.06,65.44,309.52,357.85,-5.48,8.77,False,True
Sorghum,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,303,239.51,413.96,0.7195,34.58,86.45,234.52,239.51,-2.13,0.0,False,False
Sorghum,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,303,276.99,443.06,0.6787,35.11,86.59,234.52,239.51,-18.11,-15.65,False,False
Sorghum,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,303,277.14,444.59,0.6765,36.82,85.57,234.52,239.51,-18.18,-15.71,False,False
Sorghum,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,303,313.42,457.65,0.6572,36.17,86.58,234.52,239.51,-33.65,-30.86,False,False
Sorghum,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,303,315.32,458.67,0.6557,36.41,86.49,234.52,239.51,-34.46,-31.65,False,False
Sorghum,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,309,264.96,445.68,0.6166,51.29,93.0,272.37,264.96,2.72,0.0,True,False
Sorghum,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,309,267.28,451.64,0.6063,51.6,92.93,272.37,264.96,1.87,-0.87,True,False
Sorghum,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,309,270.48,448.31,0.6121,52.33,92.92,272.37,264.96,0.69,-2.08,True,False
Sorghum,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,309,273.25,449.77,0.6096,52.23,93.27,272.37,264.96,-0.32,-3.13,False,False
Sorghum,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,309,271.76,452.72,0.6044,51.5,92.9,272.37,264.96,0.22,-2.57,True,False
Sorghum,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,257.1,458.0,0.5806,43.16,93.14,260.94,257.1,1.47,0.0,True,False
Sorghum,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,337.16,481.97,0.5356,43.58,91.98,260.94,257.1,-29.21,-31.14,False,False
Sorghum,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,260.2,458.19,0.5803,43.82,93.34,260.94,257.1,0.28,-1.21,True,False
Sorghum,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,338.65,492.92,0.5142,44.35,92.19,260.94,257.1,-29.78,-31.72,False,False
Sorghum,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,342.32,493.67,0.5128,44.79,92.2,260.94,257.1,-31.19,-33.14,False,False
Sorghum,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,331.94,577.49,0.5121,33.66,92.96,288.26,331.94,-15.15,0.0,False,False
Sorghum,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,327.46,585.4,0.4987,33.03,92.39,288.26,331.94,-13.6,1.35,False,True
Sorghum,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,323.19,572.05,0.5213,33.13,92.12,288.26,331.94,-12.11,2.64,False,True
Sorghum,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,323.58,580.36,0.5072,33.19,92.49,288.26,331.94,-12.25,2.52,False,True
Sorghum,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,319.96,576.17,0.5143,32.57,91.91,288.26,331.94,-10.99,3.61,False,True
Pearl Millet,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,301,289.58,525.94,0.6322,36.89,100.74,260.02,289.58,-11.37,0.0,False,False
Pearl Millet,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,301,342.08,524.65,0.634,37.85,100.72,260.02,289.58,-31.56,-18.13,False,False
Pearl Millet,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,301,323.25,510.19,0.6539,38.28,100.82,260.02,289.58,-24.32,-11.63,False,False
Pearl Millet,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,301,363.75,528.19,0.6291,39.35,101.1,260.02,289.58,-39.89,-25.61,False,False
Pearl Millet,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,301,353.41,519.65,0.641,37.77,100.75,260.02,289.58,-35.91,-22.04,False,False
Pearl Millet,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,274.29,469.98,0.6829,36.64,108.3,250.79,274.29,-9.37,0.0,False,False
Pearl Millet,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,287.6,468.01,0.6856,37.49,107.91,250.79,274.29,-14.68,-4.85,False,False
Pearl Millet,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,286.44,460.89,0.6951,36.23,108.65,250.79,274.29,-14.21,-4.43,False,False
Pearl Millet,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,288.52,461.27,0.6946,37.19,108.65,250.79,274.29,-15.05,-5.19,False,False
