crop,feature,model,mean_importance,std_importance,mean_rank,rank_variance,feature_stability_score,interpretative_role
Oilseeds,area_lag_1,RandomForestRegressor,0.0227,0.002,5.5,0.3333,0.8845,predictive contribution within the fitted model
Oilseeds,state_encoded,RandomForestRegressor,0.0327,0.007,4.25,0.25,0.9,predictive contribution within the fitted model
Oilseeds,year,RandomForestRegressor,0.0335,0.0247,5.0,2.0,0.7172,predictive contribution within the fitted model
Sugarcane,yield_lag_1,GradientBoostingRegressor,0.696,0.063,1.0,0.0,1.0,predictive contribution within the fitted model
Sugarcane,yield_lag_2,GradientBoostingRegressor,0.1482,0.0419,2.0,0.0,1.0,predictive contribution within the fitted model
Sugarcane,yield_rolling_3yr_mean,GradientBoostingRegressor,0.0404,0.0079,4.25,0.25,0.9,predictive contribution within the fitted model
Sugarcane,area_lag_1,GradientBoostingRegressor,0.0303,0.0161,5.5,1.0,0.8,predictive contribution within the fitted model
Sugarcane,state_encoded,GradientBoostingRegressor,0.0587,0.0112,3.0,0.0,1.0,predictive contribution within the fitted model
Sugarcane,year,GradientBoostingRegressor,0.0264,0.0053,5.25,0.25,0.9,predictive contribution within the fitted model
Rapeseed and Mustard,yield_lag_1,GradientBoostingRegressor,0.6956,0.0428,1.0,0.0,1.0,predictive contribution within the fitted model
Rapeseed and Mustard,yield_lag_2,GradientBoostingRegressor,0.0693,0.0521,3.75,1.5833,0.7483,predictive contribution within the fitted model
Rapeseed and Mustard,yield_rolling_3yr_mean,GradientBoostingRegressor,0.0608,0.0114,3.25,0.25,0.9,predictive contribution within the fitted model
Rapeseed and Mustard,area_lag_1,GradientBoostingRegressor,0.125,0.0164,2.25,0.25,0.9,predictive contribution within the fitted model
Rapeseed and Mustard,state_encoded,GradientBoostingRegressor,0.0355,0.0048,4.75,0.25,0.9,predictive contribution within the fitted model
Rapeseed and Mustard,year,GradientBoostingRegressor,0.0139,0.006,6.0,0.0,1.0,predictive contribution within the fitted model
Groundnut,yield_lag_1,RandomForestRegressor,0.5702,0.1839,1.25,0.25,0.9,predictive contribution within the fitted model
Groundnut,yield_lag_2,RandomForestRegressor,0.1602,0.1664,3.0,2.0,0.7172,predictive contribution within the fitted model
Groundnut,yield_rolling_3yr_mean,RandomForestRegressor,0.0662,0.0301,3.5,0.3333,0.8845,predictive contribution within the fitted model
Groundnut,area_lag_1,RandomForestRegressor,0.1747,0.0432,2.25,0.25,0.9,predictive contribution within the fitted model
Groundnut,state_encoded,RandomForestRegressor,0.0188,0.0025,5.0,0.0,1.0,predictive contribution within the fitted model
Groundnut,year,RandomForestRegressor,0.01,0.0011,6.0,0.0,1.0,predictive contribution within the fitted model
Sorghum,yield_lag_1,RandomForestRegressor,0.3528,0.1149,1.75,0.9167,0.8085,predictive contribution within the fitted model
Sorghum,yield_lag_2,RandomForestRegressor,0.1805,0.0506,3.0,0.6667,0.8367,predictive contribution within the fitted model
Sorghum,yield_rolling_3yr_mean,RandomForestRegressor,0.1236,0.0819,3.5,1.0,0.8,predictive contribution within the fitted model
Sorghum,area_lag_1,RandomForestRegressor,0.3158,0.0925,1.75,0.9167,0.8085,predictive contribution within the fitted model
Sorghum,state_encoded,RandomForestRegressor,0.0176,0.0075,5.0,0.0,1.0,predictive contribution within the fitted model
Sorghum,year,RandomForestRegressor,0.0097,0.002,6.0,0.0,1.0,predictive contribution within the fitted model
Kharif Sorghum,yield_lag_1,RandomForestRegressor,0.6425,0.0614,1.0,0.0,1.0,predictive contribution within the fitted model
Kharif Sorghum,yield_lag_2,RandomForestRegressor,0.1012,0.0062,2.75,0.25,0.9,predictive contribution within the fitted model
Kharif Sorghum,yield_rolling_3yr_mean,RandomForestRegressor,0.0701,0.0166,4.0,0.0,1.0,predictive contribution within the fitted model
Kharif Sorghum,area_lag_1,RandomForestRegressor,0.1392,0.0538,2.25,0.25,0.9,predictive contribution within the fitted model
Kharif Sorghum,state_encoded,RandomForestRegressor,0.0291,0.004,5.0,0.0,1.0,predictive contribution within the fitted model
Kharif Sorghum,year,RandomForestRegressor,0.0179,0.0016,6.0,0.0,1.0,predictive contribution within the fitted model
Pearl Millet,yield_lag_1,RandomForestRegressor,0.6623,0.0411,1.0,0.0,1.0,predictive contribution within the fitted model
Pearl Millet,yield_lag_2,RandomForestRegressor,0.1064,0.0691,3.25,0.9167,0.8085,predictive contribution within the fitted model
Pearl Millet,yield_rolling_3yr_mean,RandomForestRegressor,0.0872,0.0444,2.75,0.9167,0.8085,predictive contribution within the fitted model
Pearl Millet,area_lag_1,RandomForestRegressor,0.11,0.0131,3.0,0.6667,0.8367,predictive contribution within the fitted model
Pearl Millet,state_encoded,RandomForestRegressor,0.0186,0.0024,5.5,0.3333,0.8845,predictive contribution within the fitted model
Pearl Millet,year,RandomForestRegressor,0.0155,0.0073,5.5,0.3333,0.8845,predictive contribution within the fitted model
