crop,state,district,min_year,max_year,total_observations
Barley,Madhya Pradesh,Khandwa / East Nimar,2010,2017,8
Barley,Madhya Pradesh,Khargone / West Nimar,2010,2017,8
Barley,Madhya Pradesh,Mandla,2010,2017,8
Barley,Madhya Pradesh,Mandsaur,2010,2017,8
Barley,Madhya Pradesh,Morena,2010,2017,8
Barley,Madhya Pradesh,Narsinghpur,2010,2017,8
Barley,Madhya Pradesh,Panna,2010,2017,8
Barley,Madhya Pradesh,Raisen,2010,2017,8
Barley,Madhya Pradesh,Rajgarh,2010,2017,8
Barley,Madhya Pradesh,Ratlam,2010,2017,8
Barley,Madhya Pradesh,Rewa,2010,2016,7
Barley,Madhya Pradesh,Sagar,2010,2017,8
Barley,Madhya Pradesh,Satna,2010,2017,8
Barley,Madhya Pradesh,Sehore,2010,2017,8
Barley,Madhya Pradesh,Seoni / Shivani,2010,2017,8
Barley,Madhya Pradesh,Shahdol,2010,2017,8
Barley,Madhya Pradesh,Shajapur,2010,2017,8
Barley,Madhya Pradesh,Shivpuri,2010,2017,8
Barley,Madhya Pradesh,Sidhi,2010,2017,8
Barley,Madhya Pradesh,Tikamgarh,2010,2017,8
Barley,Madhya Pradesh,Ujjain,2010,2017,8
Barley,Madhya Pradesh,Vidisha,2010,2017,8
Barley,Maharashtra,Ahmednagar,2010,2017,8
Barley,Maharashtra,Akola,2010,2017,8
Barley,Maharashtra,Amarawati,2010,2017,8
Barley,Maharashtra,Aurangabad,2010,2017,8
Barley,Maharashtra,Beed,2010,2017,8
Barley,Maharashtra,Bhandara,2010,2017,8
Barley,Maharashtra,Bombay,2010,2016,4
Barley,Maharashtra,Buldhana,2010,2017,8
Barley,Maharashtra,Chandrapur,2010,2017,8
Barley,Maharashtra,Dhule,2010,2017,8
Barley,Maharashtra,Jalgaon,2010,2017,8
Barley,Maharashtra,Kolhapur,2010,2017,8
Barley,Maharashtra,Nagpur,2010,2017,8
Barley,Maharashtra,Nanded,2010,2017,8
Barley,Maharashtra,Nasik,2010,2017,8
Barley,Maharashtra,Osmanabad,2010,2017,8
Barley,Maharashtra,Parbhani,2010,2017,8
Barley,Maharashtra,Pune,2010,2017,8
Barley,Maharashtra,Raigad,2010,2017,8
Barley,Maharashtra,Ratnagiri,2010,2017,8
Barley,Maharashtra,Sangli,2010,2017,8
Barley,Maharashtra,Satara,2010,2017,8
Barley,Maharashtra,Solapur,2010,2017,8
Barley,Maharashtra,Thane,2010,2017,8
Barley,Maharashtra,Wardha,2010,2017,8
Barley,Maharashtra,Yeotmal,2010,2017,8
Barley,Orissa,Balasore,2010,2017,8
Barley,Orissa,Bolangir,2010,2017,8
Barley,Orissa,Cuttack,2010,2017,8
Barley,Orissa,Dhenkanal,2010,2017,8
Barley,Orissa,Ganjam,2010,2017,8
Barley,Orissa,Kalahandi,2010,2017,8
Barley,Orissa,Keonjhar,2010,2017,8
Barley,Orissa,Koraput,2010,2017,8
Barley,Orissa,Mayurbhanja,2010,2017,8
Barley,Orissa,Phulbani ( Kandhamal ),2010,2017,8
Barley,Orissa,Puri,2010,2017,8
Barley,Orissa,Sambalpur,2010,2017,8
Barley,Orissa,Sundargarh,2010,2017,8
Barley,Punjab,Amritsar,2010,2017,8
Barley,Punjab,Bhatinda,2010,2017,8
Barley,Punjab,Ferozpur,2010,2017,8
Barley,Punjab,Gurdaspur,2010,2017,8
Barley,Punjab,Hoshiarpur,2010,2017,8
Barley,Punjab,Jalandhar,2010,2017,8
Barley,Punjab,Kapurthala,2010,2017,8
Barley,Punjab,Ludhiana,2010,2017,8
Barley,Punjab,Patiala,2010,2017,8
Barley,Punjab,Roopnagar / Ropar,2010,2017,8
Barley,Punjab,Sangrur,2010,2016,7
Barley,Rajasthan,Ajmer,2010,2017,8
Barley,Rajasthan,Alwar,2010,2017,8
Barley,Rajasthan,Banswara,2010,2017,8
Barley,Rajasthan,Barmer,2010,2017,8
Barley,Rajasthan,Bharatpur,2010,2017,8
Barley,Rajasthan,Bhilwara,2010,2017,8
Barley,Rajasthan,Bikaner,2010,2017,8
Barley,Rajasthan,Bundi,2010,2017,8
Barley,Rajasthan,Chittorgarh,2010,2017,8
Barley,Rajasthan,Churu,2010,2017,8
Barley,Rajasthan,Dungarpur,2010,2017,8
Barley,Rajasthan,Ganganagar,2010,2017,8
Barley,Rajasthan,Jaipur,2010,2017,8
Barley,Rajasthan,Jaisalmer,2010,2017,8
Barley,Rajasthan,Jalore,2010,2017,8
Barley,Rajasthan,Jhalawar,2010,2017,8
Barley,Rajasthan,Jhunjhunu,2010,2017,8
Barley,Rajasthan,Jodhpur,2010,2017,8
Barley,Rajasthan,Kota,2010,2017,8
Barley,Rajasthan,Nagaur,2010,2017,8
Barley,Rajasthan,Pali,2010,2017,8
Barley,Rajasthan,Sikar,2010,2017,8
Barley,Rajasthan,Sirohi,2010,2017,8
Barley,Rajasthan,Swami Madhopur,2010,2017,8
Barley,Rajasthan,Tonk,2010,2017,8
Barley,Rajasthan,Udaipur,2010,2017,8
Barley,Tamil Nadu,Chengalpattu Mgr / Kanchipuram,2010,2017,8
Barley,Tamil Nadu,Coimbatore,2010,2017,8
Barley,Tamil Nadu,Kanyakumari,2010,2017,5
Barley,Tamil Nadu,Madurai,2010,2017,7
Barley,Tamil Nadu,North Arcot / Vellore,2010,2017,7
Barley,Tamil Nadu,Ramananthapuram,2010,2017,8
Barley,Tamil Nadu,Salem,2010,2016,5
Barley,Tamil Nadu,South Arcot / Cuddalore,2010,2017,8
Barley,Tamil Nadu,Thanjavur,2010,2017,8
Barley,Tamil Nadu,The Nilgiris,2010,2017,7
Barley,Tamil Nadu,Thirunelveli,2010,2017,6
Barley,Tamil Nadu,Tiruchirapalli / Trichy,2010,2017,6
Barley,Telangana,Adilabad,2010,2017,8
Barley,Telangana,Hyderabad,2010,2017,8
Barley,Telangana,Karimnagar,2010,2017,8
Barley,Telangana,Khammam,2010,2017,8
Barley,Telangana,Mahabubnagar,2010,2017,8
Barley,Telangana,Medak,2010,2017,8
Barley,Telangana,Nalgonda,2010,2017,8
Barley,Telangana,Nizamabad,2010,2017,8
Barley,Telangana,Warangal,2010,2017,8
Barley,Uttar Pradesh,Agra,2010,2017,8
Barley,Uttar Pradesh,Aligarh,2010,2017,8
Barley,Uttar Pradesh,Allahabad,2010,2017,8
Barley,Uttar Pradesh,Azamgarh,2010,2017,8
Barley,Uttar Pradesh,Bahraich,2010,2017,8
Barley,Uttar Pradesh,Ballia,2010,2017,8
Barley,Uttar Pradesh,Banda,2010,2017,8
