record_id,source,dataset_version,country,state_raw,state,district_raw,district,year,season_raw,season,crop_raw,crop,area_ha,production_tonnes,yield_kg_ha
ICR_1_2010_VEG_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,VEGETABLES,Vegetables,32290.0,,
ICR_1_2010_FRU_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,FRUITS AND VEGETABLES,Fruits and Vegetables,34300.0,,
ICR_1_2010_POT_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,POTATOES,Potatoes,110.0,,
ICR_1_2010_ONI_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,ONION,Onion,490.0,,
ICR_1_2010_FOD_0,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2010,Annual,Annual,FODDER,Fodder,150.0,,
ICR_1_2011_RIC_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,RICE,Rice,806550.0,1416480.0,1756.23
ICR_1_2011_WHE_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,WHEAT,Wheat,44980.0,50190.0,1115.68
ICR_1_2011_KHA_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Kharif,Kharif,KHARIF SORGHUM,Kharif Sorghum,260.0,200.0,774.6
ICR_1_2011_RAB_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Rabi,Rabi,RABI SORGHUM,Rabi Sorghum,0.0,0.0,0.0
ICR_1_2011_SOR_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,SORGHUM,Sorghum,260.0,200.0,774.6
ICR_1_2011_PEA_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,PEARL MILLET,Pearl Millet,0.0,0.0,0.0
ICR_1_2011_MAI_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,MAIZE,Maize,3630.0,4670.0,1285.56
ICR_1_2011_FIN_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,FINGER MILLET,Finger Millet,160.0,40.0,250.0
ICR_1_2011_BAR_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,BARLEY,Barley,150.0,170.0,1133.33
ICR_1_2011_CHI_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,CHICKPEA,Chickpea,196270.0,197940.0,1008.49
ICR_1_2011_PIG_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,PIGEONPEA,Pigeonpea,12400.0,5460.0,440.09
ICR_1_2011_MIN_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,MINOR PULSES,Minor Pulses,72710.0,32840.0,451.66
ICR_1_2011_GRO_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,GROUNDNUT,Groundnut,540.0,840.0,1561.11
ICR_1_2011_SES_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,SESAMUM,Sesamum,1590.0,550.0,347.76
ICR_1_2011_RAP_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,RAPESEED AND MUSTARD,Rapeseed and Mustard,3840.0,1610.0,418.76
ICR_1_2011_SAF_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,SAFFLOWER,Safflower,150.0,30.0,203.94
ICR_1_2011_CAS_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,CASTOR,Castor,0.0,0.0,0.0
ICR_1_2011_LIN_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,LINSEED,Linseed,12700.0,4960.0,390.64
ICR_1_2011_SUN_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,SUNFLOWER,Sunflower,180.0,150.0,833.33
ICR_1_2011_SOY_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,SOYABEAN,Soyabean,87070.0,69830.0,802.03
ICR_1_2011_OIL_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,OILSEEDS,Oilseeds,106250.0,78180.0,735.8
ICR_1_2011_SUG_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,SUGARCANE,Sugarcane,4070.0000000000005,2060.0,506.02
ICR_1_2011_COT_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,COTTON,Cotton,80.0,20.0,250.0
ICR_1_2011_FRU_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,FRUITS,Fruits,0.0,,
ICR_1_2011_VEG_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,VEGETABLES,Vegetables,0.0,,
ICR_1_2011_FRU_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,FRUITS AND VEGETABLES,Fruits and Vegetables,0.0,,
ICR_1_2011_POT_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,POTATOES,Potatoes,120.0,,
ICR_1_2011_ONI_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,ONION,Onion,540.0,,
ICR_1_2011_FOD_1,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2011,Annual,Annual,FODDER,Fodder,0.0,,
ICR_1_2012_RIC_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,RICE,Rice,807070.0,1534220.0,1900.97
ICR_1_2012_WHE_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,WHEAT,Wheat,43870.0,47690.0,1087.1
ICR_1_2012_KHA_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Kharif,Kharif,KHARIF SORGHUM,Kharif Sorghum,700.0,490.0,705.81
ICR_1_2012_RAB_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Rabi,Rabi,RABI SORGHUM,Rabi Sorghum,0.0,0.0,0.0
ICR_1_2012_SOR_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,SORGHUM,Sorghum,700.0,490.0,705.81
ICR_1_2012_PEA_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,PEARL MILLET,Pearl Millet,0.0,0.0,0.0
ICR_1_2012_MAI_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,MAIZE,Maize,3120.0,4800.0,1538.56
ICR_1_2012_FIN_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,FINGER MILLET,Finger Millet,180.0,50.0,277.78
ICR_1_2012_BAR_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,BARLEY,Barley,190.0,110.0,578.95
ICR_1_2012_CHI_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,CHICKPEA,Chickpea,208600.0,235920.0,1130.97
ICR_1_2012_PIG_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,PIGEONPEA,Pigeonpea,11230.0,6100.0,543.12
ICR_1_2012_MIN_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,MINOR PULSES,Minor Pulses,160540.0,60530.0,377.05
ICR_1_2012_GRO_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,GROUNDNUT,Groundnut,480.0,720.0,1502.72
ICR_1_2012_SES_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,SESAMUM,Sesamum,1720.0,470.0,272.66
ICR_1_2012_RAP_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,RAPESEED AND MUSTARD,Rapeseed and Mustard,3770.0,1640.0,434.56
ICR_1_2012_SAF_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,SAFFLOWER,Safflower,360.0,90.0,252.03
ICR_1_2012_CAS_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,CASTOR,Castor,50.0,20.0,400.0
ICR_1_2012_LIN_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,LINSEED,Linseed,11380.0,4760.0,418.13
ICR_1_2012_SUN_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,SUNFLOWER,Sunflower,190.0,140.0,736.84
