crop,model,train_period,test_period,train_records,test_records,mae,rmse,r2,mape,smape,valid_predictions,invalid_predictions,notes,status
Minor Pulses,Historical District Mean,2010-2015,2016-2017,1600,600,322.3,1208.09,0.1951,30.29,27.37,600,0,District historical mean (2010-2015),EVALUATED
Minor Pulses,Historical Crop Mean,2010-2015,2016-2017,1600,600,413.02,1364.5,-0.0268,45.73,36.76,600,0,National historical crop mean (2010-2015),EVALUATED
Minor Pulses,Linear District Trend,2010-2015,2016-2017,1600,600,366.4,1214.32,0.1868,38.47,34.79,600,0,Ordinary least squares district temporal trend,EVALUATED
Oilseeds,Naive Persistence (t-1),2010-2015,2016-2017,1444,62,746.72,2041.8,0.7635,21.54,22.9,62,0,1-year historical district lag persistence,EVALUATED
Oilseeds,Historical District Mean,2010-2015,2016-2017,1444,62,961.29,2559.87,0.6283,21.89,26.2,62,0,District historical mean (2010-2015),EVALUATED
Oilseeds,Historical Crop Mean,2010-2015,2016-2017,1444,62,1886.65,4485.05,-0.141,54.41,57.62,62,0,National historical crop mean (2010-2015),EVALUATED
Oilseeds,Linear District Trend,2010-2015,2016-2017,1444,62,875.7,2261.25,0.71,23.59,24.91,62,0,Ordinary least squares district temporal trend,EVALUATED
Onion,All Baselines,2010-2015,2016-2017,0,0,,,,,,0,0,Insufficient train/test observations for out-of-time evaluation,INFEASIBLE
Pearl Millet,Naive Persistence (t-1),2010-2015,2016-2017,1084,354,393.24,808.71,0.0826,209.45,31.13,354,0,1-year historical district lag persistence,EVALUATED
Pearl Millet,Historical District Mean,2010-2015,2016-2017,1084,354,329.83,622.61,0.4563,318.08,26.01,354,0,District historical mean (2010-2015),EVALUATED
Pearl Millet,Historical Crop Mean,2010-2015,2016-2017,1084,354,610.04,848.56,-0.01,502.72,47.01,354,0,National historical crop mean (2010-2015),EVALUATED
Pearl Millet,Linear District Trend,2010-2015,2016-2017,1084,354,409.31,716.2,0.2805,238.3,35.57,354,0,Ordinary least squares district temporal trend,EVALUATED
Pigeonpea,Naive Persistence (t-1),2010-2015,2016-2017,1528,504,299.15,447.47,-0.0525,31.31,33.75,504,0,1-year historical district lag persistence,EVALUATED
Pigeonpea,Historical District Mean,2010-2015,2016-2017,1528,504,305.14,428.37,0.0355,29.81,32.78,504,0,District historical mean (2010-2015),EVALUATED
Pigeonpea,Historical Crop Mean,2010-2015,2016-2017,1528,504,344.66,476.03,-0.1911,40.62,35.5,504,0,National historical crop mean (2010-2015),EVALUATED
Pigeonpea,Linear District Trend,2010-2015,2016-2017,1528,504,359.01,508.51,-0.3592,37.53,41.68,504,0,Ordinary least squares district temporal trend,EVALUATED
Potatoes,All Baselines,2010-2015,2016-2017,0,0,,,,,,0,0,Insufficient train/test observations for out-of-time evaluation,INFEASIBLE
Rabi Sorghum,Naive Persistence (t-1),2010-2015,2016-2017,445,138,431.85,613.16,0.4129,75.74,48.34,138,0,1-year historical district lag persistence,EVALUATED
Rabi Sorghum,Historical District Mean,2010-2015,2016-2017,445,138,379.55,551.01,0.5259,78.67,38.0,138,0,District historical mean (2010-2015),EVALUATED
Rabi Sorghum,Historical Crop Mean,2010-2015,2016-2017,445,138,530.54,808.24,-0.0202,134.69,47.37,138,0,National historical crop mean (2010-2015),EVALUATED
Rabi Sorghum,Linear District Trend,2010-2015,2016-2017,445,138,570.99,868.41,-0.1777,85.19,52.91,138,0,Ordinary least squares district temporal trend,EVALUATED
Rapeseed and Mustard,Naive Persistence (t-1),2010-2015,2016-2017,1385,498,224.95,335.73,0.6039,43.75,28.06,498,0,1-year historical district lag persistence,EVALUATED
Rapeseed and Mustard,Historical District Mean,2010-2015,2016-2017,1385,498,247.52,356.19,0.5542,48.62,30.11,498,0,District historical mean (2010-2015),EVALUATED
Rapeseed and Mustard,Historical Crop Mean,2010-2015,2016-2017,1385,498,443.92,534.33,-0.0033,95.59,49.61,498,0,National historical crop mean (2010-2015),EVALUATED
Rapeseed and Mustard,Linear District Trend,2010-2015,2016-2017,1385,498,326.49,443.83,0.3078,58.23,39.43,498,0,Ordinary least squares district temporal trend,EVALUATED
Rice,Naive Persistence (t-1),2010-2015,2016-2017,1673,557,382.91,551.52,0.6206,19.95,19.9,557,0,1-year historical district lag persistence,EVALUATED
Rice,Historical District Mean,2010-2015,2016-2017,1673,557,367.49,511.63,0.6735,17.56,17.94,557,0,District historical mean (2010-2015),EVALUATED
Rice,Historical Crop Mean,2010-2015,2016-2017,1673,557,705.34,923.8,-0.0644,44.31,30.74,557,0,National historical crop mean (2010-2015),EVALUATED
