Model,Train R2,Test R2 (Random),Test MAE (Random),Test RMSE (Random),Test sMAPE (Random) %,5-Fold CV R2,5-Fold CV MAE,5-Fold CV RMSE,Test R2 (Temporal),Test MAE (Temporal),Test RMSE (Temporal),Test sMAPE (Temporal) %,Training Time (s),Inference Latency (s)
RandomForest (Baseline),0.9929,0.9567,97.01,230.33,7.46,0.9673,107.68,197.25,0.9394,123.47,273.32,7.61,0.482,0.1278
RandomForest (Tuned),0.9929,0.9568,96.39,230.14,7.45,0.9671,107.62,197.59,0.9392,123.19,273.79,7.59,0.734,0.343
ExtraTrees,0.9965,0.9659,77.7,204.47,6.27,0.9767,87.77,166.81,0.9534,99.31,239.81,6.22,0.612,0.417
GradientBoosting,0.9936,0.9612,106.21,218.04,25.95,0.972,111.01,183.01,0.9446,130.48,261.4,15.74,1.851,0.0492
HistGradientBoosting,0.9892,0.9697,93.57,192.87,20.79,0.9712,110.49,185.42,0.9533,119.05,240.02,11.7,1.019,0.051
SVR (RBF),0.7082,0.6405,400.19,663.97,36.83,0.6854,384.39,615.18,0.6096,487.03,693.96,36.55,0.83,1.6041
